"","QV2M","PS","WS2M","ALLSKY_SFC_SW_DWN","RH2M","GWETTOP","T2MWET","T2M_MAX","T2MDEW","T2M","T2M_MIN","PRECTOTCORR"
"QV2M",1,0.264833414046092,-0.257988214916425,0.0335921492596315,0.246156681354435,0.207723848824647,0.923631736124732,0.839607528124042,0.939230333570995,0.889374192259699,0.857161796502471,0.333934343286068
"PS",0.264833414046092,1,-0.234532323726814,0.20209405927459,0.240860310796304,0.59272432548283,0.257896326619597,0.189821160834607,0.28814417124334,0.22271547905144,0.227111448184377,0.0579085001601412
"WS2M",-0.257988214916425,-0.234532323726814,1,-0.247508478499371,-0.138679563820104,-0.308508943143721,-0.305276322223457,-0.283957742304934,-0.310649748530229,-0.293700314136734,-0.32098525784794,0.02680390830217
"ALLSKY_SFC_SW_DWN",0.0335921492596315,0.20209405927459,-0.247508478499371,1,-0.489501676020913,-0.0907246101415282,0.155352844175049,0.327722945233474,0.0765919078861361,0.230176869844563,0.16858265956996,-0.379755099530529
"RH2M",0.246156681354435,0.240860310796304,-0.138679563820104,-0.489501676020913,1,0.559801218926654,0.107732456270706,-0.092449678420002,0.246706883129733,-0.0321282904824925,-0.024118370489645,0.276489514397181
"GWETTOP",0.207723848824647,0.59272432548283,-0.308508943143721,-0.0907246101415282,0.559801218926654,1,0.200654012635479,0.0642562613501521,0.274924066282978,0.123005007548692,0.13931128394586,0.206578283987559
"T2MWET",0.923631736124732,0.257896326619597,-0.305276322223457,0.155352844175049,0.107732456270706,0.200654012635479,1,0.954235495058846,0.98966898692699,0.989864561293163,0.958971970654579,0.26093431262457
"T2M_MAX",0.839607528124042,0.189821160834607,-0.283957742304934,0.327722945233474,-0.092449678420002,0.0642562613501521,0.954235495058846,1,0.914506563209103,0.974155506795958,0.906596658354848,0.170532748117618
"T2MDEW",0.939230333570995,0.28814417124334,-0.310649748530229,0.0765919078861361,0.246706883129733,0.274924066282978,0.98966898692699,0.914506563209103,1,0.959277962954915,0.931696890356147,0.296357900748094
"T2M",0.889374192259699,0.22271547905144,-0.293700314136734,0.230176869844563,-0.0321282904824925,0.123005007548692,0.989864561293163,0.974155506795958,0.959277962954915,1,0.96644874434419,0.220551371995147
"T2M_MIN",0.857161796502471,0.227111448184377,-0.32098525784794,0.16858265956996,-0.024118370489645,0.13931128394586,0.958971970654579,0.906596658354848,0.931696890356147,0.96644874434419,1,0.224595819150056
"PRECTOTCORR",0.333934343286068,0.0579085001601412,0.02680390830217,-0.379755099530529,0.276489514397181,0.206578283987559,0.26093431262457,0.170532748117618,0.296357900748094,0.220551371995147,0.224595819150056,1
